file,strehl,rms_err,fwhm,mjd,epoch,AIRMASS,ITIME,COADDS,FWINAME,AZ,DMGAIN,DTGAIN,XREF,YREF,XSTREHL,YSTREHL,WSFRRT,AOLBFWHM,LSAMPPWR,LGRMSWF,AOAOAMED,TUBETEMP,telem_file,telem_mjd,rms_mean,rms_std,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c0268.fits,0.254,395.5,71.82,56842.415389999995,14jullgs2,1.54355,2.8,10,Kp,191.17966,0.250,0.075,393.117,701.055,495.369,416.362,440,0.952832,12.491857,160.8,892,3.9029,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0268_fullLGS_trs.sav,56842.41539638889,126.53055,32.54751,56842.41511574074,56842.41581018519,56842.415462962956,56842.41527777777,0.3,0.57,1.42e-21,4.6999999999999995e-21,5.4e-24,2.98e-14,6.14e-14,9.12e-15,0.32,25.0,124.0,4.09,12.0,621.8
c0269.fits,0.212,421.1,78.67,56842.41598,14jullgs2,1.54479,2.8,10,Kp,191.41767,0.250,0.075,392.164,703.109,494.277,417.241,440,0.953062,12.491857,154.1,873,3.8899,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0269_fullLGS_trs.sav,56842.41598498842,150.53833,43.620197,56842.416180555556,56842.41581018519,56842.415462962956,56842.41597222224,0.26,0.57,1.42e-21,4.6999999999999995e-21,5.4e-24,2.98e-14,6.14e-14,9.12e-15,0.32,24.0,120.0,4.08,12.0,621.7
c0270.fits,0.26,392.2,70.08,56842.41659,14jullgs2,1.54611,2.8,10,Kp,191.66478,0.250,0.075,433.193,708.764,535.374,421.908,440,1.029372,12.491857,130.6,946,3.8987,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0270_fullLGS_trs.sav,56842.41659803241,132.98581,35.68044,56842.416180555556,56842.41581018519,56842.41652777777,56842.41666666666,0.26,0.57,3.33e-22,2.55e-22,8.02e-21,5.66e-14,5.03e-14,1.17e-14,0.35,26.0,118.0,4.07,12.0,621.7
c0271.fits,0.252,397.2,72.31,56842.41718,14jullgs2,1.5474,2.8,10,Kp,191.90117,0.250,0.075,433.040,707.360,535.364,420.392,440,0.932414,12.586672,165.0,919,3.8867,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0271_fullLGS_trs.sav,56842.41718415509,140.25247,39.70543,56842.417233796295,56842.41792824074,56842.417581018526,56842.41736111111,0.35,0.62,2.09e-21,2.69e-23,2.3999999999999997e-19,4.68e-14,6.92e-14,7.68e-15,0.36,23.0,120.0,4.07,12.0,621.7
c0272.fits,0.22899999999999998,410.3,72.99,56842.417760000004,14jullgs2,1.54872,2.8,10,Kp,192.13714,0.250,0.075,432.949,708.896,535.135,422.637,440,0.957501,12.278523,190.6,962,3.8885,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0272_fullLGS_trs.sav,56842.41777158565,141.60263,36.79442,56842.417233796295,56842.41792824074,56842.417581018526,56842.418055555565,0.35,0.62,2.09e-21,2.69e-23,2.3999999999999997e-19,4.68e-14,6.92e-14,7.68e-15,0.36,23.0,112.0,4.07,12.0,621.7
c0273.fits,0.295,373.5,65.21,56842.41835,14jullgs2,1.55008,2.8,10,Kp,192.37369,0.250,0.075,432.218,705.840,534.517,418.787,440,1.014777,12.302227,156.1,886,3.8797,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0273_fullLGS_trs.sav,56842.41836002315,148.15536,39.32613,56842.41829861111,56842.41792824074,56842.41864583334,56842.418055555565,0.32,0.62,1.9600000000000007e-21,1.68e-16,9.000000000000001e-21,5.51e-14,5.99e-14,1.48e-14,0.37,23.0,112.0,4.07,12.0,621.7
c0274.fits,0.281,380.8,68.17,56842.418939999996,14jullgs2,1.55146,2.8,10,Kp,192.60939,0.250,0.075,433.079,707.391,535.413,421.644,440,0.944723,12.420746,154.6,955,3.8753,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0274_fullLGS_trs.sav,56842.41894814815,157.1354,40.891525,56842.419351851844,56842.418993055566,56842.41864583334,56842.41875,0.38,0.56,1.9600000000000007e-21,1.68e-16,9.000000000000001e-21,5.51e-14,5.99e-14,1.48e-14,0.37,23.0,116.0,4.06,12.0,621.7
c0275.fits,0.289,376.7,66.44,56842.41952999999,14jullgs2,1.55287,2.8,10,Kp,192.84475,0.250,0.075,433.161,706.828,535.386,421.762,440,0.947967,12.373338,148.9,831,3.8793,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0275_fullLGS_trs.sav,56842.419574872685,161.91751,41.25401,56842.419351851844,56842.42005787037,56842.41969907408,56842.419444444444,0.38,0.64,4.81e-14,1.5199999999999998e-15,5.13e-21,1.01e-13,9.13e-14,6.840000000000001e-15,0.55,24.0,122.0,4.04,12.0,621.8
c0276.fits,0.221,415.2,74.53,56842.42019,14jullgs2,1.55449,2.8,10,Kp,193.10779,0.250,0.075,412.078,667.895,514.263,382.266,440,0.932934,12.397042,144.4,917,3.8623,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0276_fullLGS_trs.sav,56842.42019420139,156.96951,40.219025,56842.42041666668,56842.42005787037,56842.41969907408,56842.42013888888,0.58,0.64,4.81e-14,1.5199999999999998e-15,5.13e-21,1.01e-13,9.13e-14,6.840000000000001e-15,0.55,26.0,112.0,4.03,12.0,621.7
c0277.fits,0.254,395.9,71.73,56842.42077999999,14jullgs2,1.55596,2.8,10,Kp,193.34188,0.250,0.075,413.178,667.976,515.286,381.861,440,0.962760,12.278523,168.6,880,3.8627,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0277_fullLGS_trs.sav,56842.4207815162,156.1141,37.691208,56842.42041666668,56842.421122685184,56842.420763888884,56842.42083333332,0.58,0.63,1.6399999999999999e-22,3.41e-23,7.9e-24,6.399999999999999e-14,7.36e-14,8.7e-15,0.4,25.0,117.0,4.03,12.0,621.7
c0278.fits,0.27,386.8,69.06,56842.42136,14jullgs2,1.55746,2.8,10,Kp,193.57567,0.250,0.075,413.133,667.159,515.371,382.064,440,0.988688,12.468153,175.0,784,3.8603,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0278_fullLGS_trs.sav,56842.42136872685,155.80121,36.864056,56842.421481481484,56842.421122685184,56842.42184027778,56842.42152777778,0.41,0.63,1.4099999999999999e-21,3.09e-16,1e-19,2.96e-14,4.92e-14,1.35e-14,0.3,26.0,122.0,4.04,12.0,621.7
c0279.fits,0.249,398.5,71.55,56842.42195,14jullgs2,1.55899,2.8,10,Kp,193.80895,0.250,0.075,413.006,667.727,515.228,382.560,440,0.926625,12.444449,179.7,796,3.8495,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0279_fullLGS_trs.sav,56842.42195561343,155.59326,39.35789,56842.421481481484,56842.42219907407,56842.42184027778,56842.42222222222,0.41,0.69,1.4099999999999999e-21,3.09e-16,1e-19,2.96e-14,4.92e-14,1.35e-14,0.3,24.0,118.0,4.04,12.0,621.6
c0280.fits,0.31,366.0,62.16,56842.42254,14jullgs2,1.56056,2.8,10,Kp,194.04265,0.250,0.075,413.194,667.911,515.286,382.613,440,0.956196,12.325931,183.0,910,3.8455,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0280_fullLGS_trs.sav,56842.42254486111,155.16985,40.34862,56842.42255787037,56842.42219907407,56842.422905092586,56842.42222222222,0.28,0.69,9.63e-22,8.73e-22,3.34e-20,3.69e-14,5.22e-14,1.84e-14,0.33,24.0,118.0,4.04,12.0,621.6
c0281.fits,0.275,383.9,69.54,56842.423129999996,14jullgs2,1.56215,2.8,10,Kp,194.27552,0.250,0.075,413.182,667.042,515.235,380.886,440,0.978676,12.302227,193.9,807,3.8577,/g/lu/data/keck_telemetry/20140704/sdata902/nirc18/2014jul04/n0281_fullLGS_trs.sav,56842.42313420139,158.71574,42.94116,56842.42362268519,56842.423263888886,56842.422905092586,56842.42291666668,0.3,0.7,9.63e-22,8.73e-22,3.34e-20,3.69e-14,5.22e-14,1.84e-14,0.33,25.0,115.0,4.04,12.0,621.6
