strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure,train,strehl_RF_pred,strehl_RF_err,strehl_RF_percent_err,fwhm_RF_pred,fwhm_RF_err,fwhm_RF_percent_err
0.303,57.02,1.5181,183.23194,0.11,0.36,3.0,112.0,3.57,9.0,618.5,True,,,,57.873500000000064,-0.8535000000000608,-0.014968432129078581
0.295,58.84,1.51844,183.47295,0.11,0.36,2.0,112.0,3.55,9.0,618.5,True,,,,59.33760000000006,-0.49760000000005533,-0.008456832087016575
0.247,65.24,1.51881,183.7138,0.11,0.4,2.0,111.0,3.53,9.0,618.6,True,,,,62.541299999999936,2.698700000000059,0.04136572654813089
0.268,61.7,1.51921,183.95423,0.11,0.45,3.0,112.0,3.52,9.0,618.6,False,,,,60.403299999999945,1.2967000000000581,0.02101620745543044
0.29100000000000004,60.16,1.51963,184.19458,0.11,0.45,3.0,112.0,3.52,9.0,618.6,True,,,,59.93179999999996,0.2282000000000366,0.0037932180851069914
0.299,55.71,1.52021,184.50793,0.11,0.35,3.0,130.0,3.5,9.0,618.6,True,,,,56.177700000000016,-0.4677000000000149,-0.008395261173936724
0.305,55.33,1.52069,184.74685,0.11,0.35,4.0,127.0,3.49,8.0,618.6,True,,,,55.49159999999999,-0.16159999999999286,-0.002920657870955953
0.32,55.57,1.52119,184.98789,0.11,0.35,4.0,134.0,3.48,8.0,618.6,True,,,,55.648699999999984,-0.07869999999998356,-0.0014162317797369725
0.32799999999999996,55.09,1.5217200000000002,185.22732,0.11,0.37,3.0,122.0,3.46,8.0,618.6,True,,,,55.68750000000004,-0.5975000000000392,-0.010845888546016322
0.314,55.03,1.52228,185.46751,0.11,0.37,3.0,124.0,3.44,8.0,618.6,True,,,,55.4024,-0.37239999999999895,-0.006767217881155714
0.318,55.12,1.52286,185.70735,0.11,0.43,4.0,134.0,3.41,8.0,618.6,True,,,,55.54569999999993,-0.42569999999993513,-0.00772314949201624
0.311,56.66,1.52364,186.01386,0.11,0.43,4.0,134.0,3.37,8.0,618.6,True,,,,56.20959999999995,0.45040000000004454,0.007949170490646746
0.321,54.26,1.52428,186.25201,0.11,0.35,4.0,131.0,3.34,8.0,618.6,True,,,,55.288700000000084,-1.0287000000000859,-0.018958717287137595
0.29,58.79,1.52495,186.4921,0.11,0.35,4.0,131.0,3.34,8.0,618.6,True,,,,57.48210000000002,1.3078999999999823,0.022246980779043753
0.271,61.25,1.52569,186.75046,0.11,0.31,4.0,130.0,3.33,9.0,618.6,False,,,,60.05880000000001,1.1911999999999878,0.019448163265305924
0.23399999999999999,66.86,1.52641,186.98893,0.11,0.28,3.0,130.0,3.32,9.0,618.6,False,,,,62.11100000000007,4.748999999999931,0.0710290158540223
0.249,63.27,1.52716,187.22887,0.11,0.28,3.0,126.0,3.33,9.0,618.6,True,,,,62.908400000000086,0.36159999999991754,0.0057151888730823065
0.23600000000000002,66.97,1.52815,187.53477,0.11,0.27,3.0,120.0,3.33,9.0,618.6,True,,,,66.39140000000005,0.5785999999999518,0.008639689413169357
0.20199999999999999,70.8,1.52894,187.77077,0.11,0.27,3.0,119.0,3.34,9.0,618.6,True,,,,69.65860000000009,1.141399999999905,0.01612146892655233
0.21,70.72,1.52977,188.00858,0.11,0.31,3.0,120.0,3.35,9.0,618.6,True,,,,69.33770000000005,1.382299999999944,0.01954609728506708
0.221,68.92,1.53063,188.24682,0.11,0.31,3.0,120.0,3.35,9.0,618.6,False,,,,69.44800000000005,-0.5280000000000484,-0.0076610562971568255
0.18,76.87,1.53151,188.48412,0.11,0.28,4.0,120.0,3.37,9.0,618.6,True,,,,73.65949999999995,3.210500000000053,0.04176531806946862
0.21600000000000005,68.55,1.53242,188.72119,0.11,0.28,4.0,123.0,3.37,9.0,618.6,True,,,,67.66570000000003,0.8842999999999677,0.012900072939459778
0.295,57.86,1.53362,189.02389,0.11,0.28,4.0,124.0,3.35,10.0,618.6,True,,,,62.06709999999999,-4.20709999999999,-0.07271171793985465
0.261,64.26,1.53457,189.25796,0.11,0.34,4.0,128.0,3.34,10.0,618.6,False,,,,61.95190000000002,2.308099999999982,0.03591814503579181
0.27399999999999997,61.29,1.53558,189.49684,0.11,0.34,3.0,123.0,3.33,10.0,618.6,False,,,,61.83650000000005,-0.5465000000000515,-0.00891662587697914
