strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure,train,strehl_RF_pred,strehl_RF_err,strehl_RF_percent_err,fwhm_RF_pred,fwhm_RF_err,fwhm_RF_percent_err
0.331,58.4,1.52626,173.05919,0.06,0.36,0.0,120.0,3.64,10.0,618.4,True,0.3271796296296294,0.0038203703703706404,0.011541904442207372,57.965464814814794,0.4345351851852044,0.0074406709791987055
0.358,56.19,1.52554,173.2999,0.06,0.36,0.0,119.0,3.66,10.0,618.4,False,0.32061150997150994,0.03738849002849004,0.10443712298460905,58.76924259259256,-2.579242592592564,-0.04590216395430796
0.309,60.33,1.52485,173.53905,0.06,0.35,0.0,119.0,3.69,9.0,618.5,True,0.31706962962962987,-0.00806962962962987,-0.026115306244756865,58.87179814814811,1.4582018518518893,0.024170426849857273
0.34700000000000003,54.56,1.52405,173.83077,0.06,0.35,0.0,119.0,3.73,9.0,618.5,True,0.3326388888888892,0.014361111111110825,0.04138648735190439,56.146687037037026,-1.5866870370370236,-0.029081507277071546
0.32899999999999996,55.81,1.52339,174.08371,0.06,0.32,0.0,119.0,3.76,9.0,618.5,False,0.32487962962962985,0.004120370370370108,0.012523922098389387,57.06424259259259,-1.2542425925925897,-0.02247343831916484
0.302,58.59,1.52279,174.3229,0.06,0.32,0.0,119.0,3.76,9.0,618.5,False,0.32242777777777787,-0.020427777777777878,-0.06764164827078768,57.246464814814814,1.343535185185189,0.02293113475311809
0.319,56.92,1.52221,174.56277,0.06,0.38,0.0,111.0,3.78,8.0,618.5,True,0.31716089743589737,0.0018391025641026348,0.00576521179969478,57.30136111111115,-0.381361111111147,-0.006699949246506447
0.313,60.18,1.52166,174.80286,0.06,0.31,1.0,109.0,3.8,8.0,618.5,True,0.3094212509712509,0.0035787490287491064,0.011433702967249541,59.600094444444444,0.5799055555555555,0.009636184040471178
0.305,58.65,1.52113,175.04356,0.06,0.31,2.0,107.0,3.81,8.0,618.5,True,0.30036878183544835,0.004631218164551643,0.015184321850988992,59.29287222222219,-0.6428722222221879,-0.010961163209244465
0.265,62.79,1.5205,175.34872,0.06,0.39,3.0,101.0,3.8,8.0,618.5,True,0.2806302918069586,-0.015630291806958574,-0.058982233233805935,60.722555555555545,2.0674444444444546,0.03292633292633309
0.301,56.28,1.52003,175.58723999999995,0.06,0.39,4.0,99.0,3.78,8.0,618.5,True,0.30344769921436554,-0.0024476992143655507,-0.008131891077626414,56.889927777777785,-0.6099277777777843,-0.010837380557529927
0.284,58.08,1.51959,175.82889,0.06,0.37,4.0,98.0,3.74,8.0,618.5,False,0.3158309090909087,-0.03183090909090874,-0.11208066581305896,55.35081666666666,2.7291833333333386,0.046990071166207625
0.325,54.4,1.51917,176.0701,0.06,0.37,4.0,98.0,3.74,8.0,618.5,True,0.31815590909090874,0.006844090909091272,0.021058741258742374,55.15481666666667,-0.7548166666666702,-0.013875306372549086
0.336,54.37,1.5187700000000002,176.31097,0.06,0.43,3.0,101.0,3.71,8.0,618.5,False,0.2937824190624191,0.042217580937580934,0.12564756231422897,57.19782857142857,-2.827828571428576,-0.05201082529756439
0.308,55.46,1.51841,176.55176,0.06,0.42,4.0,100.0,3.67,8.0,618.5,True,0.3070640857290857,0.0009359142709142731,0.003038682697773614,55.62195555555556,-0.16195555555555785,-0.0029202227831871233
0.295,56.54,1.51799,176.84843999999995,0.06,0.42,5.0,101.0,3.64,8.0,618.5,True,0.30322942964443,-0.00822942964443002,-0.027896371676033968,56.38084444444442,0.1591555555555786,0.002814919624258553
0.324,55.08,1.51768,177.08794,0.06,0.44,4.0,107.0,3.61,8.0,618.5,True,0.3165452936634519,0.0074547063365481,0.023008352890580556,55.94305555555554,-0.8630555555555404,-0.01566912773339761
0.309,54.93,1.51737,177.34561000000005,0.08,0.44,4.0,119.0,3.58,8.0,618.5,True,0.30797617283950623,0.001023827160493762,0.0033133565064523045,55.80294444444446,-0.8729444444444567,-0.015891943281348204
0.304,56.56,1.51711,177.58776,0.08,0.42,3.0,115.0,3.57,8.0,618.5,True,0.30613413580246884,-0.0021341358024688506,-0.0070201835607527985,56.383333333333375,0.17666666666662678,0.0031235266383774184
0.335,54.85,1.5168700000000002,177.8288,0.08,0.42,3.0,106.0,3.57,8.0,618.5,True,0.3216002036235373,0.013399796376462714,0.03999939216854541,55.4087777777778,-0.5587777777777987,-0.010187379722475819
0.315,55.67,1.51665,178.0865,0.08,0.48,3.0,106.0,3.57,8.0,618.5,True,0.3115173576196386,0.0034826423803613893,0.011056007556702822,56.03722222222227,-0.3672222222222672,-0.006596411392532193
0.335,55.58,1.51642,178.38608,0.08,0.48,4.0,98.0,3.57,8.0,618.5,True,0.31891593740242885,0.01608406259757117,0.04801212715692886,56.10444444444442,-0.5244444444444198,-0.009435848226779774
0.298,56.78,1.51627,178.62778,0.08,0.48,4.0,105.0,3.57,8.0,618.5,True,0.3027439288554199,-0.00474392885541991,-0.01591922434704668,56.484888888888904,0.29511111111109756,0.005197448240773116
0.33799999999999997,54.82,1.51614,178.86891,0.08,0.39,4.0,103.0,3.56,8.0,618.5,False,0.30792167135982934,0.030078328640170626,0.0889891379886705,55.817527777777784,-0.9975277777777833,-0.018196420608861424
0.306,55.25,1.51603,179.12552,0.08,0.39,4.0,100.0,3.56,8.0,618.5,True,0.30819204173019965,-0.0021920417301996564,-0.007163535066011949,55.64333333333334,-0.393333333333338,-0.007119155354449556
0.26899999999999996,55.24,1.51595,179.40083,0.08,0.45,4.0,103.0,3.57,8.0,618.5,False,0.3052623926073927,-0.036262392607392724,-0.13480443348473134,56.51100000000002,-1.271000000000015,-0.023008689355539735
0.317,56.37,1.5159,179.64129,0.08,0.34,4.0,108.0,3.57,8.0,618.5,True,0.3115004969494443,0.0054995030505556874,0.01734859006484444,56.67055555555552,-0.30055555555551905,-0.005331835294580789
0.304,57.59,1.51587,179.95295,0.08,0.34,4.0,109.0,3.58,8.0,618.5,True,0.3020203182619845,0.001979681738015493,0.006512110980314122,57.24655555555559,0.34344444444441535,0.0059636125098874
0.284,58.57,1.51587,180.19225,0.08,0.43,3.0,110.0,3.58,8.0,618.5,True,0.28552053872053856,-0.001520538720538589,-0.005354009579361229,58.230888888888934,0.33911111111106607,0.005789843112703877
0.267,57.77,1.51591,180.43401,0.08,0.43,3.0,110.0,3.58,8.0,618.5,True,0.27507609427609403,-0.008076094276094015,-0.030247544105221028,57.83977777777785,-0.06977777777784411,-0.0012078549035458561
0.24600000000000002,57.74,1.51596,180.67588,0.08,0.31,3.0,110.0,3.61,8.0,618.5,False,0.27853244348244327,-0.032532443482443246,-0.1322457052131839,58.00566666666668,-0.26566666666667516,-0.004601085325020352
0.252,57.91,1.51605,180.93461,0.08,0.47,3.0,110.0,3.62,8.0,618.5,True,0.2609981481481481,-0.008998148148148088,-0.03570693709582575,58.10355555555551,-0.19355555555551263,-0.0033423511579263104
0.266,58.84,1.51616,181.17469,0.08,0.47,3.0,107.0,3.64,8.0,618.5,True,0.2701314814814813,-0.004131481481481292,-0.01553188526872666,58.37507407407414,0.46492592592586135,0.007901528312812055
0.268,58.36,1.51633,181.47604,0.08,0.51,4.0,108.0,3.65,8.0,618.5,True,0.2771621182586098,-0.009162118258609797,-0.0341870084276485,57.82958333333332,0.5304166666666816,0.00908870230751682
0.271,57.11,1.5165,181.71595,0.08,0.51,3.0,108.0,3.65,8.0,618.5,True,0.27530679012345716,-0.004306790123457138,-0.015892214477701616,57.49191666666667,-0.3819166666666689,-0.006687386914142337
0.308,54.09,1.51668,181.95708,0.08,0.41,4.0,108.0,3.66,8.0,618.5,True,0.30636878492527614,0.0016312150747238574,0.005296152840012524,55.10663888888891,-1.016638888888906,-0.018795320556274836
0.314,56.41,1.5169,182.19894,0.08,0.41,4.0,107.0,3.64,8.0,618.5,True,0.3092075856307436,0.004792414369256426,0.015262466144128744,56.3750833333333,0.03491666666669602,0.0006189800862736398
0.289,58.05,1.51714,182.43938,0.08,0.46,4.0,107.0,3.64,8.0,618.5,True,0.2937001253132835,-0.00470012531328351,-0.016263409388524257,57.74818518518525,0.3018148148147475,0.005199221616102455
0.285,59.19,1.5174,182.68125,0.08,0.46,4.0,110.0,3.63,9.0,618.5,False,0.2807359277824191,0.00426407221758085,0.014961656903792458,59.12474074074076,0.06525925925923559,0.0011025385919789762
0.24600000000000002,62.15,1.51778,182.99265,0.08,0.46,3.0,111.0,3.6,9.0,618.5,True,0.2592324514991181,-0.013232451499118086,-0.0537904532484475,60.866629629629614,1.2833703703703847,0.02064956348142212
0.303,57.02,1.5181,183.23194,0.11,0.36,3.0,112.0,3.57,9.0,618.5,True,0.29950814413981114,0.0034918558601888527,0.011524276766299845,58.257190476190516,-1.2371904761905128,-0.021697482921615448
0.295,58.84,1.51844,183.47295,0.11,0.36,2.0,112.0,3.55,9.0,618.5,True,0.2924838095238099,0.002516190476190061,0.008529459241322241,59.75636111111113,-0.9163611111111294,-0.015573778230984523
0.247,65.24,1.51881,183.7138,0.11,0.4,2.0,111.0,3.53,9.0,618.6,True,0.26726143298059973,-0.020261432980599736,-0.08203009303886533,63.09755555555548,2.1424444444445143,0.032839430478916534
0.268,61.7,1.51921,183.95423,0.11,0.45,3.0,112.0,3.52,9.0,618.6,False,0.28539506653839997,-0.01739506653839995,-0.06490696469552219,60.708870370370306,0.9911296296296968,0.016063689297077743
0.29100000000000004,60.16,1.51963,184.19458,0.11,0.45,3.0,112.0,3.52,9.0,618.6,True,0.2890839554272889,0.001916044572711162,0.006584345610691277,59.99031481481476,0.16968518518523723,0.002820564913318438
0.299,55.71,1.52021,184.50793,0.11,0.35,3.0,130.0,3.5,9.0,618.6,True,0.30005802950136273,-0.001058029501362745,-0.003538560205226572,56.26666666666669,-0.5566666666666862,-0.009992221623885949
0.305,55.33,1.52069,184.74685,0.11,0.35,4.0,127.0,3.49,8.0,618.6,True,0.30722092423820485,-0.0022209242382048577,-0.007281718813786419,55.518305555555536,-0.1883055555555373,-0.003403317468923501
0.32,55.57,1.52119,184.98789,0.11,0.35,4.0,134.0,3.48,8.0,618.6,True,0.3162130935503743,0.0037869064496257043,0.011834082655080326,55.6756388888889,-0.1056388888888975,-0.0019010057385081428
0.32799999999999996,55.09,1.5217200000000002,185.22732,0.11,0.37,3.0,122.0,3.46,8.0,618.6,True,0.3214890900230371,0.006510909976962853,0.019850335295618457,55.50588888888895,-0.4158888888889436,-0.007549262822453141
0.314,55.03,1.52228,185.46751,0.11,0.37,3.0,124.0,3.44,8.0,618.6,True,0.31619909002303737,-0.0021990900230373644,-0.00700347141094702,55.44377777777781,-0.4137777777778098,-0.007519130979062507
0.318,55.12,1.52286,185.70735,0.11,0.43,4.0,134.0,3.41,8.0,618.6,True,0.31352121925183335,0.004478780748166655,0.014084216189203318,55.619650793650734,-0.49965079365073706,-0.009064782177988699
0.311,56.66,1.52364,186.01386,0.11,0.43,4.0,134.0,3.37,8.0,618.6,True,0.3118911663417804,-0.0008911663417803806,-0.0028654866295189088,56.38703174603171,0.27296825396828694,0.004817653617513007
0.321,54.26,1.52428,186.25201,0.11,0.35,4.0,131.0,3.34,8.0,618.6,True,0.31079283300844723,0.010207166991552774,0.03179802801106783,55.344380952381016,-1.084380952381018,-0.01998490513050162
0.29,58.79,1.52495,186.4921,0.11,0.35,4.0,131.0,3.34,8.0,618.6,True,0.29789092592592564,-0.007890925925925663,-0.027210089399743665,57.80944444444446,0.9805555555555401,0.01667895144676884
0.271,61.25,1.52569,186.75046,0.11,0.31,4.0,130.0,3.33,9.0,618.6,False,0.2754163580246913,-0.004416358024691258,-0.016296524076351505,60.27466666666667,0.9753333333333316,0.015923809523809496
0.23399999999999999,66.86,1.52641,186.98893,0.11,0.28,3.0,130.0,3.32,9.0,618.6,False,0.2516746913580246,-0.01767469135802463,-0.07553286905138731,62.89826984126988,3.96173015873012,0.05925411544615794
0.249,63.27,1.52716,187.22887,0.11,0.28,3.0,126.0,3.33,9.0,618.6,True,0.24916666666666656,-0.00016666666666656504,-0.0006693440428376106,63.54604761904768,-0.2760476190476737,-0.004363009626168385
