comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,strehl,fwhm,train,strehl_SVR_pred,strehl_SVR_err,strehl_SVR_percent_err,fwhm_SVR_pred,fwhm_SVR_err,fwhm_SVR_percent_err
-1.2619535808147413,-1.1322834377553201,0.4686733836386301,-1.398379311384076,0.5814754373888625,-0.29515172007595586,0.7952162990805082,0.6274213623521268,0.1764354808873938,0.306,61.08,True,0.3575637602342882,-0.051563760234288214,-0.1685090203734909,60.3074255355995,0.772574464400499,0.01264856686968728
-1.259350602948064,-1.1468737863628269,0.4718690909187319,-1.3890655810109631,0.5834144781666936,-0.2915571770655605,0.7876749861380675,0.6271821109708349,0.17979226825481012,0.312,60.47,True,0.35716204637403354,-0.04516204637403354,-0.14475014863472288,60.33550337781627,0.13449662218372538,0.0022241875671196523
-1.1630708272073071,-1.063636579691487,0.42666815022236576,-1.0588022982328738,0.5407435694487067,-0.3339201528519746,0.9353517164292184,0.5282077851648461,0.14102839822539712,0.336,58.63,False,0.35164444555751234,-0.01564444555751232,-0.04656084987354857,58.69674359706025,-0.06674359706024546,-0.0011383864414164328
-1.1860124450489884,-1.0581016674869692,0.4405659563817345,-1.0146619421264012,0.5004122847878577,-0.3331084202416087,0.9071731976846944,0.5261671231360038,0.12309283639704775,0.35,56.65,True,0.3502725668710294,-0.0002725668710294449,-0.0007787624886555569,58.57121050957192,-1.921210509571921,-0.0339136894893543
-1.316387725063335,-1.080175817854472,0.5213951244120956,-0.9658881417952434,0.4183946830788655,-0.2732437687533679,0.9143115613016202,0.5521185079919259,0.04988968165121863,0.35700000000000004,55.96,True,0.3481080459704576,0.00889195402954246,0.024907434256421453,58.92982068656195,-2.9698206865619525,-0.05307041970267964
-1.316492062691062,-1.0948059154677474,0.5220204409865138,-0.9555664150840228,0.4202736167423025,-0.2677598956803995,0.9068725172072516,0.5517503289971214,0.056554546607069475,0.354,56.93,False,0.3477299990594916,0.006270000940508391,0.017711867063583027,58.95663054153916,-2.0266305415391628,-0.035598639408732875
-1.372832135000096,-1.134748343225383,0.5580205256726238,-1.0547972840967117,0.4050350581200093,-0.24764024830763626,0.8143932085527635,0.590887859891998,0.0565001097961224,0.335,59.45,True,0.34847256833411216,-0.013472568334112145,-0.04021662189287207,59.549991039604336,-0.09999103960433331,-0.0016819350648331927
-1.8003100758408401,-0.9469952168105386,0.7130277164631771,-0.3689553227776787,-0.3027753267082152,-0.23275561770985545,0.3897771227324364,0.5580782566459959,-0.2739426325082189,0.304,62.2,True,0.3227976208093764,-0.018797620809376414,-0.06183427897821189,57.92719301680786,4.27280698319214,0.06869464603202798
-1.8233385806235636,-0.9406143468214608,0.7266506509227564,-0.32571621266512485,-0.34360060686666044,-0.2303149514062827,0.36162174375791994,0.5534720527273915,-0.29172286131729314,0.311,58.49,False,0.32099226061727043,-0.009992260617270432,-0.03212945536099818,57.87397009960155,0.616029900398452,0.010532226028354453
-1.8491327018847024,-0.92802216769148,0.7447871593755655,-0.2817522090443041,-0.3734591656652209,-0.23014776054293745,0.33021104498944764,0.5459419684865461,-0.3149629078139255,0.334,56.11,True,0.3192152814659213,0.0147847185340787,0.04426562435352904,57.862675107574205,-1.7526751075742055,-0.031236412539194538
-1.8546926707098583,-0.9122247091575388,0.745365151997205,-0.2022032407127201,-0.4087144075655781,-0.23216640256149285,0.3309807871554405,0.5282719339774966,-0.3294126201646013,0.331,58.4,True,0.31732431015060186,0.013675689849398154,0.041316283532924936,57.68958335270298,0.7104166472970164,0.012164668618099596
-1.8503113764528172,-0.9295795777290394,0.7427550284732225,-0.19609221839815544,-0.4186764648078391,-0.22459435957037813,0.3279915728881192,0.5278453402016244,-0.32041461880726224,0.358,56.19,False,0.3171636605202142,0.040836339479785766,0.11406798737370326,57.6278839612904,-1.437883961290403,-0.025589677189720647
-1.9000385527284316,-0.9417015952627612,0.7279386686234661,-0.18671340636531825,-0.4605006955504202,-0.2050784664707516,0.26633346328465585,0.5409229305160558,-0.3626575280394892,0.309,60.33,True,0.31565211922155295,-0.0066521192215529545,-0.021527893920883348,57.86378983675134,2.466210163248661,0.040878670035615135
-1.9047476636526308,-0.9581143060291348,0.7241493479264663,-0.1737586124544223,-0.45882862012517,-0.1941495937326996,0.2578467449759217,0.5381009668503007,-0.3492365598067373,0.34700000000000003,54.56,True,0.3155620869399873,0.03143791306001276,0.09059917308361023,57.8454692535597,-3.2854692535596968,-0.06021754496993579
-1.9689904006014889,-0.9985892742424954,0.7526206645884518,-0.26985865745792625,-0.4743072724667021,-0.16778034318322893,0.16532716315450527,0.5760550319867365,-0.3393165802131408,0.329,55.81,False,0.31574045831978564,0.01325954168021437,0.04030255829852392,58.35099449296363,-2.540994492963627,-0.045529376329755004
-1.9646355444041967,-1.0094127022539068,0.7570199082659866,-0.2644438378184619,-0.4735095237767914,-0.16335870419107618,0.15887284603821686,0.5712799116520795,-0.3389917434619621,0.302,58.59,False,0.31561189483779056,-0.013611894837790572,-0.04507249946288269,58.31930738963044,0.27069261036956505,0.004620116237746459
-1.8290378241516063,-0.983763892762074,0.6851794363293954,-0.0306746110961357,-0.5709607378808642,-0.18880014126255,0.33363431686536466,0.5035557546078486,-0.3355469621343254,0.319,56.92,True,0.31273262978563415,0.006267370214365853,0.019646928571679788,57.02005560787992,-0.10005560787991641,-0.0017578286697104077
-1.9065582205422664,-1.029952313444159,0.700803930811532,-0.2786122259925569,-0.6374636709655775,-0.19259765478677254,0.05120883642463104,0.5853962744237327,-0.2843565415156641,0.313,60.18,True,0.31495731709493363,-0.0019573170949336305,-0.006253409248989235,57.765091341761654,2.414908658238346,0.040128093357234065
