comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,strehl,fwhm,train,strehl_SVR_pred,strehl_SVR_err,strehl_SVR_percent_err,fwhm_SVR_pred,fwhm_SVR_err,fwhm_SVR_percent_err
-1.8491327018847024,-0.92802216769148,0.7447871593755655,-0.2817522090443041,-0.3734591656652209,-0.23014776054293745,0.33021104498944764,0.5459419684865461,-0.3149629078139255,0.334,56.11,True,,,,61.71477084562197,-5.604770845621971,-0.0998889831691672
-1.8546926707098583,-0.9122247091575388,0.745365151997205,-0.2022032407127201,-0.4087144075655781,-0.23216640256149285,0.3309807871554405,0.5282719339774966,-0.3294126201646013,0.331,58.4,True,,,,61.80996747274404,-3.409967472744043,-0.0583898539853432
-1.8503113764528172,-0.9295795777290394,0.7427550284732225,-0.19609221839815544,-0.4186764648078391,-0.22459435957037813,0.3279915728881192,0.5278453402016244,-0.32041461880726224,0.358,56.19,False,,,,61.84908099953358,-5.659080999533579,-0.10071331196891936
-1.9000385527284316,-0.9417015952627612,0.7279386686234661,-0.18671340636531825,-0.4605006955504202,-0.2050784664707516,0.26633346328465585,0.5409229305160558,-0.3626575280394892,0.309,60.33,True,,,,61.68176644006831,-1.3517664400683103,-0.022406206531879833
-1.9047476636526308,-0.9581143060291348,0.7241493479264663,-0.1737586124544223,-0.45882862012517,-0.1941495937326996,0.2578467449759217,0.5381009668503007,-0.3492365598067373,0.34700000000000003,54.56,True,,,,61.723499120871125,-7.163499120871123,-0.13129580500130356
-1.9689904006014889,-0.9985892742424954,0.7526206645884518,-0.26985865745792625,-0.4743072724667021,-0.16778034318322893,0.16532716315450527,0.5760550319867365,-0.3393165802131408,0.329,55.81,False,,,,61.36199984222459,-5.551999842224589,-0.0994803770332304
-1.9646355444041967,-1.0094127022539068,0.7570199082659866,-0.2644438378184619,-0.4735095237767914,-0.16335870419107618,0.15887284603821686,0.5712799116520795,-0.3389917434619621,0.302,58.59,False,,,,61.38297482305744,-2.7929748230574347,-0.0476698211820692
-1.8290378241516063,-0.983763892762074,0.6851794363293954,-0.0306746110961357,-0.5709607378808642,-0.18880014126255,0.33363431686536466,0.5035557546078486,-0.3355469621343254,0.319,56.92,True,,,,62.13527073041795,-5.215270730417949,-0.09162457361942987
-1.9065582205422664,-1.029952313444159,0.700803930811532,-0.2786122259925569,-0.6374636709655775,-0.19259765478677254,0.05120883642463104,0.5853962744237327,-0.2843565415156641,0.313,60.18,True,,,,61.46579633945203,-1.2857963394520269,-0.02136584146646771
-1.8385415667005187,-1.0129171464170452,0.6470060327379724,-0.27966937567596245,-0.6649333872808545,-0.23847687252302915,-0.03208995644163712,0.5710010757333097,-0.2359505254191401,0.305,58.65,True,,,,61.659732100782435,-3.0097321007824362,-0.051316830362871886
-1.5813363354401269,-0.9434265146833916,0.5064899438384252,-0.009932844369081182,-0.6927488240225114,-0.3298369371706415,0.1264623521556564,0.4541227934753399,-0.1846727200647447,0.265,62.79,True,,,,62.788371895481305,0.0016281045186943288,2.5929360068391924e-05
-1.505848728050901,-0.9238660334396314,0.4595115391119561,-0.015815688605125902,-0.7207555217151025,-0.3798970594211551,0.04368944358493782,0.43749966624857095,-0.14603707520326242,0.301,56.28,True,,,,62.897925329802376,-6.617925329802375,-0.1175892915743137
-1.5275327191070942,-0.953345130256584,0.4907950570098321,-0.09091165199079736,-0.7432543833660588,-0.3683588606353705,-0.014940431302239553,0.458746746148377,-0.1566456733430604,0.284,58.08,False,,,,62.69283575192702,-4.612835751927022,-0.07942210316678758
-1.5233961350934722,-0.9632981326565948,0.49487641343448496,-0.08618111985902477,-0.7427454724822491,-0.3632650152701991,-0.0211262339597789,0.4528259348674051,-0.15625288920005648,0.325,54.4,True,,,,62.705752204460914,-8.305752204460916,-0.15267926846435506
