comp0,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,strehl,fwhm,train,strehl_ANN_pred,strehl_ANN_err,strehl_ANN_percent_err,fwhm_ANN_pred,fwhm_ANN_err,fwhm_ANN_percent_err
-1.2619535808147413,-1.1322834377553201,0.4686733836386301,-1.398379311384076,0.5814754373888625,-0.29515172007595586,0.7952162990805082,0.6274213623521268,0.1764354808873938,0.306,61.08,True,0.39900100213945633,-0.09300100213945633,-0.30392484359299454,61.671332598958216,-0.5913325989582177,-0.009681280271090663
-1.259350602948064,-1.1468737863628269,0.4718690909187319,-1.3890655810109631,0.5834144781666936,-0.2915571770655605,0.7876749861380675,0.6271821109708349,0.17979226825481012,0.312,60.47,True,0.3989294802170428,-0.08692948021704278,-0.27862012890077814,61.68862460393832,-1.2186246039383235,-0.020152548436221655
-1.1630708272073071,-1.063636579691487,0.42666815022236576,-1.0588022982328738,0.5407435694487067,-0.3339201528519746,0.9353517164292184,0.5282077851648461,0.14102839822539712,0.336,58.63,False,0.3878654178727299,-0.05186541787272986,-0.1543613627164579,61.577244305108856,-2.9472443051088533,-0.050268536672503035
-1.1860124450489884,-1.0581016674869692,0.4405659563817345,-1.0146619421264012,0.5004122847878577,-0.3331084202416087,0.9071731976846944,0.5261671231360038,0.12309283639704775,0.35,56.65,True,0.38580524000308414,-0.03580524000308416,-0.10230068572309761,61.86119273669293,-5.211192736692929,-0.09198928043588578
-1.316387725063335,-1.080175817854472,0.5213951244120956,-0.9658881417952434,0.4183946830788655,-0.2732437687533679,0.9143115613016202,0.5521185079919259,0.04988968165121863,0.35700000000000004,55.96,True,0.38169806357175073,-0.024698063571750695,-0.06918225090126244,61.37701868889542,-5.417018688895418,-0.09680162060213399
-1.316492062691062,-1.0948059154677474,0.5220204409865138,-0.9555664150840228,0.4202736167423025,-0.2677598956803995,0.9068725172072516,0.5517503289971214,0.056554546607069475,0.354,56.93,False,0.38148690568885,-0.02748690568885004,-0.07764662623968938,61.338418360645946,-4.408418360645946,-0.07743576955288857
-1.372832135000096,-1.134748343225383,0.5580205256726238,-1.0547972840967117,0.4050350581200093,-0.24764024830763626,0.8143932085527635,0.590887859891998,0.0565001097961224,0.335,59.45,True,0.384445550816528,-0.04944555081652796,-0.1475986591538148,60.813579051722975,-1.3635790517229722,-0.022936569415020557
-1.8003100758408401,-0.9469952168105386,0.7130277164631771,-0.3689553227776787,-0.3027753267082152,-0.23275561770985545,0.3897771227324364,0.5580782566459959,-0.2739426325082189,0.304,62.2,True,0.3265755022080192,-0.022575502208019183,-0.07426152042111574,61.49379164202211,0.7062083579778928,0.011353832121831074
-1.8233385806235636,-0.9406143468214608,0.7266506509227564,-0.32571621266512485,-0.34360060686666044,-0.2303149514062827,0.36162174375791994,0.5534720527273915,-0.29172286131729314,0.311,58.49,False,0.3246465111748672,-0.013646511174867204,-0.04387945715391384,61.642063462980495,-3.152063462980493,-0.05389063879262255
-1.8491327018847024,-0.92802216769148,0.7447871593755655,-0.2817522090443041,-0.3734591656652209,-0.23014776054293745,0.33021104498944764,0.5459419684865461,-0.3149629078139255,0.334,56.11,True,0.3197721680122848,0.014227831987715212,0.0425982993644168,61.916470771781825,-5.806470771781825,-0.10348370650119097
-1.8546926707098583,-0.9122247091575388,0.745365151997205,-0.2022032407127201,-0.4087144075655781,-0.23216640256149285,0.3309807871554405,0.5282719339774966,-0.3294126201646013,0.331,58.4,True,0.31603039879965483,0.014969601200345184,0.04522538126992502,62.121039347209255,-3.721039347209256,-0.06371642717824069
-1.8503113764528172,-0.9295795777290394,0.7427550284732225,-0.19609221839815544,-0.4186764648078391,-0.22459435957037813,0.3279915728881192,0.5278453402016244,-0.32041461880726224,0.358,56.19,False,0.3167796575414533,0.041220342458546666,0.11514062139258846,61.95038255534124,-5.760382555341245,-0.10251615154549289
-1.9000385527284316,-0.9417015952627612,0.7279386686234661,-0.18671340636531825,-0.4605006955504202,-0.2050784664707516,0.26633346328465585,0.5409229305160558,-0.3626575280394892,0.309,60.33,True,0.310270457533404,-0.0012704575334039903,-0.004111513053087347,62.09141097607268,-1.761410976072682,-0.0291962701155757
-1.9047476636526308,-0.9581143060291348,0.7241493479264663,-0.1737586124544223,-0.45882862012517,-0.1941495937326996,0.2578467449759217,0.5381009668503007,-0.3492365598067373,0.34700000000000003,54.56,True,0.31149691790605666,0.03550308209394337,0.10231435761943335,61.899291430802336,-7.339291430802334,-0.13451780481675832
-1.9689904006014889,-0.9985892742424954,0.7526206645884518,-0.26985865745792625,-0.4743072724667021,-0.16778034318322893,0.16532716315450527,0.5760550319867365,-0.3393165802131408,0.329,55.81,False,0.31115375817084995,0.017846241829150067,0.054243896137234245,61.40337900931108,-5.593379009311079,-0.10022180629476937
-1.9646355444041967,-1.0094127022539068,0.7570199082659866,-0.2644438378184619,-0.4735095237767914,-0.16335870419107618,0.15887284603821686,0.5712799116520795,-0.3389917434619621,0.302,58.59,False,0.310894287913484,-0.008894287913484011,-0.02945128448173514,61.39482877325048,-2.8048287732504775,-0.0478721415472005
