file,strehl,rms_err,fwhm,mjd,epoch,airmass,itime,coadds,fwiname,az,dmgain,dtgain,xref,yref,xstrehl,ystrehl,wsfrrt,aolbfwhm,lsamppwr,lgrmswf,aoaoamed,tubetemp,mass_mjd,dimm_mjd,masspro_mjd,cfht_mjd,mass,dimm,masspro_half,masspro_1,masspro_2,masspro_4,masspro_8,masspro_16,masspro,wind_speed,wind_direction,temperature,relative_humidity,pressure
c3100.fits,0.102,511.2,121.07,56409.59789,13aprlgs,1.53874,2.8,10,Kp,190.18311,0.25,0.02,385.25800000000004,683.8430000000001,490.483,399.55400000000003,750,1.201407,15.116279,188.5,559,0.013999999999999999,56409.59795138889,56409.59760416666,56409.59829861111,56409.59791666666,0.11,0.51,1.9300000000000007e-21,7.31e-23,9.790000000000001e-21,9.2e-15,8.32e-14,1.73e-14,0.34,0.0,94.0,1.73,8.0,615.4
c3101.fits,0.166,453.3,88.51,56409.59847999999,13aprlgs,1.53987,2.8,10,Kp,190.4245,0.25,0.02,388.60900000000004,683.155,493.78,398.74699999999996,750,1.165691,15.255814,158.3,749,0.0018,56409.59795138889,56409.59865740741,56409.59829861111,56409.59861111111,0.11,0.49,1.9300000000000007e-21,7.31e-23,9.790000000000001e-21,9.2e-15,8.32e-14,1.73e-14,0.34,0.0,97.0,1.68,8.0,615.4
c3102.fits,0.159,458.4,89.36,56409.59907,13aprlgs,1.54103,2.8,10,Kp,190.66494,0.25,0.02,388.31800000000004,682.972,493.47900000000004,398.556,750,1.078395,15.27907,132.0,847,0.0223,56409.5990162037,56409.59865740741,56409.59936342593,56409.599305555574,0.28,0.49,1.74e-22,1.04e-23,1.65e-20,4.52e-15,7.699999999999999e-14,1.23e-14,0.31,0.0,103.0,1.65,8.0,615.4
c3103.fits,0.151,465.1,92.38,56409.59967,13aprlgs,1.54221,2.8,10,Kp,190.90472,0.25,0.02,387.55300000000005,683.5110000000001,492.685,399.134,750,1.0762690000000001,15.093023,119.6,768,0.0175,56409.60009259259,56409.5997337963,56409.59936342593,56409.6,0.18,0.51,1.74e-22,1.04e-23,1.65e-20,4.52e-15,7.699999999999999e-14,1.23e-14,0.31,0.0,108.0,1.63,8.0,615.4
c3104.fits,0.133,480.4,98.55,56409.60026,13aprlgs,1.5434299999999999,2.8,10,Kp,191.14463,0.25,0.02,387.711,683.206,492.94800000000004,398.773,750,1.0355860000000001,15.255814,147.0,793,0.0271,56409.60009259259,56409.5997337963,56409.600439814814,56409.6,0.18,0.51,2.53e-22,3.86e-23,4.28e-22,4.379999999999999e-15,9.01e-14,1.02e-14,0.33,0.0,108.0,1.63,8.0,615.4
c3105.fits,0.19,435.4,81.27,56409.60089,13aprlgs,1.54475,2.8,10,Kp,191.40032,0.25,0.02,388.709,683.084,493.914,398.67900000000003,750,1.077199,15.372093,131.1,782,0.0195,56409.60009259259,56409.60079861112,56409.600439814814,56409.600694444445,0.18,0.47,2.53e-22,3.86e-23,4.28e-22,4.379999999999999e-15,9.01e-14,1.02e-14,0.33,0.0,108.0,1.61,8.0,615.3
c3106.fits,0.194,432.8,81.75,56409.60149,13aprlgs,1.5460399999999999,2.8,10,Kp,191.64102,0.25,0.02,388.62800000000004,682.9019999999999,493.968,398.31699999999995,750,1.043615,15.255814,178.8,672,0.0208,56409.60009259259,56409.60186342593,56409.600439814814,56409.601388888885,0.18,0.62,2.53e-22,3.86e-23,4.28e-22,4.379999999999999e-15,9.01e-14,1.02e-14,0.33,2.0,106.0,1.54,8.0,615.3
c3107.fits,0.201,428.1,78.59,56409.60208,13aprlgs,1.54734,2.8,10,Kp,191.88008,0.25,0.02,390.04,683.087,495.329,398.569,750,1.005662,15.232558,142.3,831,0.026000000000000002,56409.603275462956,56409.60186342593,56409.60255787037,56409.60208333332,0.49,0.62,1.6399999999999999e-22,2.95e-22,6.040000000000001e-20,4.96e-14,2.67e-13,1.0100000000000001e-22,0.63,3.0,106.0,1.49,8.0,615.3
c3108.fits,0.225,413.0,74.6,56409.60267000001,13aprlgs,1.5486799999999998,2.8,10,Kp,192.11895,0.25,0.02,389.958,683.115,495.092,398.745,750,1.0155969999999999,15.023256,153.2,772,0.0113,56409.603275462956,56409.60292824074,56409.60255787037,56409.60277777777,0.49,0.52,1.6399999999999999e-22,2.95e-22,6.040000000000001e-20,4.96e-14,2.67e-13,1.0100000000000001e-22,0.63,4.0,115.0,1.43,8.0,615.3
c3109.fits,0.21,422.6,78.61,56409.60327000001,13aprlgs,1.5500399999999999,2.8,10,Kp,192.35658999999998,0.25,0.02,389.496,683.315,494.63800000000003,398.92400000000004,750,1.020593,15.093023,139.0,798,0.0136,56409.603275462956,56409.60292824074,56409.60362268519,56409.60347222224,0.49,0.52,1.2500000000000001e-21,4.66e-23,1.53e-18,1.3699999999999995e-13,2.6e-13,4.26e-15,0.73,6.0,118.0,1.41,8.0,615.3
