strehl,fwhm,airmass,az,mass,dimm,wind_speed,wind_direction,temperature,relative_humidity,pressure
0.225,69.62,1.53872,190.20251000000002,0.11,0.34,3.0,120.0,3.34,10.0,618.6
0.28,61.77,1.54009,190.49363,0.11,0.3,4.0,112.0,3.34,10.0,618.6
0.29600000000000004,58.94,1.54122,190.72786000000002,0.11,0.3,3.0,117.0,3.34,9.0,618.6
0.317,58.06,1.5423799999999999,190.96085,0.11,0.26,3.0,122.0,3.34,9.0,618.6
0.302,59.24,1.54364,191.2097,0.11,0.3,3.0,118.0,3.36,9.0,618.6
0.297,59.46,1.54485,191.44111999999998,0.11,0.3,3.0,114.0,3.37,9.0,618.6
0.278,61.47,1.5461,191.67444,0.11,0.29,4.0,119.0,3.37,9.0,618.6
0.308,58.24,1.54776,191.9779,0.11,0.29,4.0,110.0,3.36,9.0,618.6
0.33,56.15,1.54906,192.20887,0.11,0.32,4.0,111.0,3.37,9.0,618.6
0.32299999999999995,58.16,1.5504,192.4408,0.11,0.32,4.0,111.0,3.37,9.0,618.6
0.314,58.34,1.55177,192.67289,0.11,0.35,4.0,110.0,3.37,9.0,618.6
0.293,57.49,1.55328,192.92345,0.11,0.26,4.0,121.0,3.37,9.0,618.6
0.258,61.3,1.55469,193.15218000000002,0.23,0.26,3.0,123.0,3.37,9.0,618.6
0.284,56.35,1.55649,193.43606,0.23,0.23,3.0,127.0,3.37,9.0,618.6
0.299,56.57,1.55797,193.6641,0.23,0.23,3.0,120.0,3.37,9.0,618.6
0.316,54.52,1.55948,193.89289,0.23,0.26,2.0,118.0,3.38,9.0,618.6
0.312,55.61,1.56102,194.12093000000002,0.23,0.3,2.0,118.0,3.38,9.0,618.6
0.309,56.66,1.56259,194.34985,0.23,0.3,4.0,111.0,3.4,9.0,618.6
0.303,58.71,1.56419,194.57785,0.23,0.33,5.0,113.0,3.4,9.0,618.6
0.309,58.05,1.56618,194.85475,0.23,0.33,5.0,113.0,3.4,9.0,618.6
0.29600000000000004,57.94,1.5678299999999998,195.07968,0.23,0.33,4.0,128.0,3.37,9.0,618.6
0.285,58.11,1.5695299999999999,195.30733999999998,0.23,0.3,4.0,123.0,3.36,9.0,618.6
0.302,56.95,1.57125,195.53248,0.23,0.3,3.0,125.0,3.34,9.0,618.7
0.282,59.59,1.57301,195.75822,0.23,0.29,3.0,125.0,3.34,9.0,618.7
0.298,60.86,1.5748,195.98384,0.23,0.29,3.0,126.0,3.31,9.0,618.7
0.267,58.92,1.57695,196.24995,0.23,0.28,3.0,129.0,3.3,9.0,618.7
0.272,59.78,1.57879,196.47216,0.23,0.28,3.0,130.0,3.29,9.0,618.7
0.287,56.91,1.58067,196.69556,0.23,0.26,3.0,129.0,3.28,10.0,618.7
0.277,58.4,1.58257,196.91808999999998,0.23,0.26,3.0,129.0,3.28,10.0,618.7
0.279,57.95,1.58451,197.14064,0.23,0.26,3.0,129.0,3.29,10.0,618.7
0.309,55.81,1.58649,197.36303999999998,0.23,0.26,3.0,129.0,3.29,10.0,618.7
0.301,58.58,1.58896,197.63627,0.23,0.37,2.0,130.0,3.31,10.0,618.7
0.306,58.06,1.59099,197.85509,0.23,0.37,2.0,127.0,3.33,10.0,618.7
0.315,56.27,1.5930600000000001,198.0753,0.23,0.37,2.0,133.0,3.35,9.0,618.7
0.315,57.96,1.5951799999999998,198.29701,0.23,0.37,1.0,128.0,3.39,9.0,618.7
0.299,58.12,1.59731,198.516,0.23,0.26,1.0,127.0,3.42,9.0,618.7
0.314,58.54,1.5994899999999999,198.736,0.16,0.26,1.0,124.0,3.45,9.0,618.7
0.256,61.52,1.60237,199.02085,0.12,0.25,1.0,120.0,3.48,8.0,618.8
0.261,62.59,1.6046,199.23711,0.12,0.22,1.0,120.0,3.48,8.0,618.8
0.277,59.57,1.60689,199.45449,0.06,0.22,2.0,120.0,3.49,8.0,618.8
0.218,69.09,1.6092,199.67161000000002,0.06,0.24,3.0,122.0,3.49,8.0,618.8
0.205,70.37,1.61156,199.88869,0.09,0.24,3.0,122.0,3.49,8.0,618.8
0.237,65.21,1.61394,200.10416,0.09,0.25,3.0,123.0,3.46,8.0,618.8
0.238,66.53,1.61727,200.40025,0.12,0.25,3.0,125.0,3.44,8.0,618.8
0.21600000000000005,68.25,1.61988,200.62653999999998,0.13,0.25,3.0,124.0,3.43,8.0,618.8
0.231,65.6,1.62237,200.84,0.13,0.27,2.0,123.0,3.43,8.0,618.8
0.205,71.79,1.62491,201.05353,0.19,0.27,2.0,123.0,3.43,8.0,618.8
0.21,70.43,1.62748,201.26616,0.19,0.28,2.0,122.0,3.44,8.0,618.8
0.253,66.16,1.63006,201.4769,0.22,0.28,2.0,122.0,3.46,8.0,618.8
0.21600000000000005,70.27,1.6392099999999998,202.19588000000002,0.22,0.26,2.0,122.0,3.55,8.0,618.8
0.229,66.61,1.6419400000000002,202.40312,0.22,0.24,2.0,122.0,3.59,8.0,618.8
0.258,64.52,1.6449799999999999,202.62983,0.22,0.24,2.0,121.0,3.63,8.0,618.8
0.22,68.22,1.6573799999999999,203.51622,0.12,0.27,3.0,127.0,3.7,8.0,618.8
