dimm,mjd
0.93,57524.35532407407
0.9,57524.356354166666
0.77,57524.357407407406
0.81,57524.35949074074
1.04,57524.36053240741
1.17,57524.36158564815
0.9,57524.36262731482
0.96,57524.36366898148
1.35,57524.3647337963
1.08,57524.36577546296
0.83,57524.36681712963
0.83,57524.36787037037
0.82,57524.36890046296
0.89,57524.369942129626
0.97,57524.37099537037
0.77,57524.372037037036
0.79,57524.373090277775
0.77,57524.37412037037
0.81,57524.37516203704
0.76,57524.37621527778
0.86,57524.37724537037
0.75,57524.378287037034
0.75,57524.379328703704
0.9,57524.38037037037
1.06,57524.38141203704
0.87,57524.41232638889
0.7,57524.41337962963
0.85,57524.42774305555
1.03,57524.4287962963
1.33,57524.42983796296
0.91,57524.444027777776
1.06,57524.445081018515
1.17,57524.446122685185
0.99,57524.447175925925
0.85,57524.45039351852
0.93,57524.45144675926
0.79,57524.45248842592
0.86,57524.45354166667
0.72,57524.45458333333
0.85,57524.45667824074
0.78,57524.45773148148
0.82,57524.45877314815
0.8,57524.45982638889
0.93,57524.46087962963
1.15,57524.46297453704
0.88,57524.46402777778
0.79,57524.46508101852
0.95,57524.46613425926
0.99,57524.46717592593
0.91,57524.46822916667
0.98,57524.469293981485
1.12,57524.47033564815
0.87,57524.47138888889
0.92,57524.47243055556
0.92,57524.4734837963
0.92,57524.47453703704
0.88,57524.475590277776
0.82,57524.47665509259
0.94,57524.47769675926
0.79,57524.47875
0.88,57524.47980324074
0.87,57524.48085648148
0.69,57524.4819212963
0.75,57524.48296296296
0.82,57524.48401620371
1.33,57524.485081018516
1.16,57524.486122685186
1.1,57524.487175925926
1.31,57524.48824074074
0.99,57524.48929398148
1.09,57524.49034722222
0.92,57524.49140046296
0.92,57524.49350694445
0.75,57524.49456018519
1.0,57524.49561342593
0.76,57524.49665509259
0.72,57524.497719907406
0.91,57524.498761574076
0.7,57524.49982638889
0.9,57524.500868055555
1.02,57524.501921296294
1.05,57524.50298611111
1.16,57524.50403935185
1.08,57524.50509259259
0.93,57524.50614583334
0.92,57524.50722222222
1.04,57524.508263888885
1.14,57524.50931712963
1.13,57524.51038194444
1.0,57524.51143518519
0.87,57524.51248842593
1.1,57524.513553240744
0.93,57524.51460648148
1.0,57524.515648148146
1.13,57524.51671296296
1.08,57524.51775462963
1.06,57524.51987268519
0.94,57524.52091435185
1.02,57524.52197916667
1.51,57524.523043981484
1.06,57524.524097222224
1.29,57524.52513888889
1.41,57524.52621527778
1.15,57524.52726851852
1.17,57524.52832175926
0.87,57524.529386574075
0.8,57524.530439814815
0.69,57524.53150462963
1.13,57524.53255787037
0.77,57524.53359953704
0.98,57524.53466435185
0.71,57524.536770833336
0.96,57524.53784722222
1.24,57524.53890046296
1.02,57524.53994212963
2.29,57524.54100694445
1.87,57524.54207175926
0.88,57524.54311342593
1.05,57524.54417824074
0.83,57524.54524305555
0.89,57524.546319444446
0.68,57524.54738425926
0.79,57524.5484375
1.06,57524.54949074074
0.92,57524.55055555556
1.03,57524.5516087963
0.83,57524.55266203704
1.71,57524.55372685185
1.06,57524.55478009259
0.87,57524.55583333333
1.14,57524.55689814815
1.06,57524.557962962965
0.96,57524.559016203704
0.72,57524.56008101852
0.71,57524.56113425926
0.84,57524.567094907405
0.81,57524.56814814815
0.89,57524.56921296296
0.79,57524.57027777778
0.85,57524.57133101852
0.92,57524.57239583333
0.66,57524.57346064815
0.82,57524.57451388889
0.75,57524.575578703705
0.66,57524.57664351852
0.85,57524.57770833333
0.77,57524.57876157408
0.8,57524.57982638889
0.85,57524.5808912037
0.8,57524.58195601852
1.45,57524.583020833335
0.73,57524.58409722222
1.34,57524.58516203704
0.74,57524.58730324074
0.76,57524.588368055556
1.16,57524.58944444444
0.82,57524.590636574074
0.79,57524.59170138889
0.88,57524.592777777776
0.79,57524.59384259259
1.0,57524.59490740741
0.77,57524.59594907407
1.08,57524.597025462965
0.86,57524.59809027778
1.17,57524.59915509259
1.34,57524.60020833334
2.04,57524.60126157408
1.2,57524.60270833333
1.35,57524.60377314815
1.29,57524.604837962965
1.16,57524.60590277778
